Total Steps:  40202 Episode:  56 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  19073.50000000002 NonSand Reward:  24970 Distance Reward:  29640 Goal Reward:  -4020.199999997439
Total Steps:  40702 Episode:  57 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  19324.70000000002 NonSand Reward:  24970 Distance Reward:  29640 Goal Reward:  -4070.1999999973937
Total Steps:  41202 Episode:  58 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  19575.90000000002 NonSand Reward:  24970 Distance Reward:  29640 Goal Reward:  -4120.199999997458
Total Steps:  41702 Episode:  59 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  19827.10000000002 NonSand Reward:  24970 Distance Reward:  29640 Goal Reward:  -4170.19999999764
Total Steps:  41976 Episode:  60 Reward:  1063.3999999999962 Episode TimeSteps:  274 Sand Penalty:  19926.30000000002 NonSand Reward:  25930 Distance Reward:  30100 Goal Reward:  -4197.599999997739
Total Steps:  42476 Episode:  61 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  20177.500000000022 NonSand Reward:  25930 Distance Reward:  30100 Goal Reward:  -4247.599999997921
Total Steps:  42976 Episode:  62 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  20428.700000000023 NonSand Reward:  25930 Distance Reward:  30100 Goal Reward:  -4297.599999998103
Total Steps:  43476 Episode:  63 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  20679.900000000023 NonSand Reward:  25930 Distance Reward:  30100 Goal Reward:  -4347.599999998285
Total Steps:  44148 Episode:  64 Reward:  552.8999999999852 Episode TimeSteps:  672 Sand Penalty:  20989.800000000025 NonSand Reward:  26480 Distance Reward:  30860 Goal Reward:  -4414.7999999985295
Total Steps:  45148 Episode:  65 Reward:  3251.100000000072 Episode TimeSteps:  1000 Sand Penalty:  21358.700000000026 NonSand Reward:  29110 Distance Reward:  33040 Goal Reward:  -4514.799999998893
Total Steps:  45648 Episode:  66 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  21609.900000000027 NonSand Reward:  29110 Distance Reward:  33040 Goal Reward:  -4564.799999999075
Total Steps:  46148 Episode:  67 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  21861.100000000028 NonSand Reward:  29110 Distance Reward:  33040 Goal Reward:  -4614.799999999257
Total Steps:  46648 Episode:  68 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  22112.30000000003 NonSand Reward:  29110 Distance Reward:  33040 Goal Reward:  -4664.799999999439
Total Steps:  47148 Episode:  69 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  22363.50000000003 NonSand Reward:  29110 Distance Reward:  33040 Goal Reward:  -4714.799999999621
Total Steps:  48148 Episode:  70 Reward:  5712.2999999999465 Episode TimeSteps:  1000 Sand Penalty:  22661.20000000003 NonSand Reward:  33160 Distance Reward:  37160 Goal Reward:  -4814.799999999985
Total Steps:  48648 Episode:  71 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  22912.40000000003 NonSand Reward:  33160 Distance Reward:  37160 Goal Reward:  -4864.800000000167
Total Steps:  49148 Episode:  72 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  23163.60000000003 NonSand Reward:  33160 Distance Reward:  37160 Goal Reward:  -4914.8000000003485
Total Steps:  49963 Episode:  73 Reward:  1838.3000000000625 Episode TimeSteps:  815 Sand Penalty:  23513.800000000032 NonSand Reward:  34330 Distance Reward:  39360 Goal Reward:  -4996.300000000645
Total Steps:  50463 Episode:  74 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  23765.000000000033 NonSand Reward:  34330 Distance Reward:  39360 Goal Reward:  -5046.300000000827
Total Steps:  50963 Episode:  75 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  24016.200000000033 NonSand Reward:  34330 Distance Reward:  39360 Goal Reward:  -5096.300000001009
Total Steps:  51463 Episode:  76 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  24267.400000000034 NonSand Reward:  34330 Distance Reward:  39360 Goal Reward:  -5146.300000001191
Total Steps:  51963 Episode:  77 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  24518.600000000035 NonSand Reward:  34330 Distance Reward:  39360 Goal Reward:  -5196.300000001373
Total Steps:  52463 Episode:  78 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  24769.800000000036 NonSand Reward:  34330 Distance Reward:  39360 Goal Reward:  -5246.3000000015545
Total Steps:  52963 Episode:  79 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  25021.000000000036 NonSand Reward:  34330 Distance Reward:  39360 Goal Reward:  -5296.300000001736
Total Steps:  53463 Episode:  80 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  25272.200000000037 NonSand Reward:  34330 Distance Reward:  39360 Goal Reward:  -5346.300000001918
Reached the target B: x: 996, y: 384
Total Steps:  53963 Episode:  81 Reward:  -266.09999999999866 Episode TimeSteps:  500 Sand Penalty:  25523.400000000038 NonSand Reward:  34330 Distance Reward:  39360 Goal Reward:  -5361.2000000021
Total Steps:  54463 Episode:  82 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  25774.60000000004 NonSand Reward:  34330 Distance Reward:  39360 Goal Reward:  -5411.200000002282
Total Steps:  54963 Episode:  83 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  26025.80000000004 NonSand Reward:  34330 Distance Reward:  39360 Goal Reward:  -5461.200000002464
Total Steps:  55463 Episode:  84 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  26277.00000000004 NonSand Reward:  34330 Distance Reward:  39360 Goal Reward:  -5511.2000000026455
