Total Steps:  6206 Episode:  78 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7350 Distance Reward:  12600 Boundary Penalty:  690 Goal Reward:  70 Goal Penalty:  620.4000000000725
Total Steps:  6207 Episode:  79 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7360 Distance Reward:  12620 Boundary Penalty:  700 Goal Reward:  70 Goal Penalty:  620.5000000000725
Total Steps:  6208 Episode:  80 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7370 Distance Reward:  12640 Boundary Penalty:  710 Goal Reward:  70 Goal Penalty:  620.6000000000726
Total Steps:  6209 Episode:  81 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7380 Distance Reward:  12660 Boundary Penalty:  720 Goal Reward:  70 Goal Penalty:  620.7000000000726
Total Steps:  6210 Episode:  82 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7390 Distance Reward:  12680 Boundary Penalty:  730 Goal Reward:  70 Goal Penalty:  620.8000000000726
Total Steps:  6211 Episode:  83 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7400 Distance Reward:  12700 Boundary Penalty:  740 Goal Reward:  70 Goal Penalty:  620.9000000000726
Total Steps:  6212 Episode:  84 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7410 Distance Reward:  12720 Boundary Penalty:  750 Goal Reward:  70 Goal Penalty:  621.0000000000726
Total Steps:  6213 Episode:  85 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7420 Distance Reward:  12740 Boundary Penalty:  760 Goal Reward:  70 Goal Penalty:  621.1000000000727
Total Steps:  6214 Episode:  86 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7430 Distance Reward:  12760 Boundary Penalty:  770 Goal Reward:  70 Goal Penalty:  621.2000000000727
Total Steps:  6215 Episode:  87 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7440 Distance Reward:  12780 Boundary Penalty:  780 Goal Reward:  70 Goal Penalty:  621.3000000000727
Total Steps:  6216 Episode:  88 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7450 Distance Reward:  12800 Boundary Penalty:  790 Goal Reward:  70 Goal Penalty:  621.4000000000727
Total Steps:  6217 Episode:  89 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7460 Distance Reward:  12820 Boundary Penalty:  800 Goal Reward:  70 Goal Penalty:  621.5000000000728
Total Steps:  6218 Episode:  90 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7470 Distance Reward:  12840 Boundary Penalty:  810 Goal Reward:  70 Goal Penalty:  621.6000000000728
Total Steps:  6219 Episode:  91 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7480 Distance Reward:  12860 Boundary Penalty:  820 Goal Reward:  70 Goal Penalty:  621.7000000000728
Total Steps:  6220 Episode:  92 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7490 Distance Reward:  12880 Boundary Penalty:  830 Goal Reward:  70 Goal Penalty:  621.8000000000728
Total Steps:  6221 Episode:  93 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7500 Distance Reward:  12900 Boundary Penalty:  840 Goal Reward:  70 Goal Penalty:  621.9000000000729
Total Steps:  6222 Episode:  94 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7510 Distance Reward:  12920 Boundary Penalty:  850 Goal Reward:  70 Goal Penalty:  622.0000000000729
Total Steps:  6223 Episode:  95 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7520 Distance Reward:  12940 Boundary Penalty:  860 Goal Reward:  70 Goal Penalty:  622.1000000000729
Total Steps:  6224 Episode:  96 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7530 Distance Reward:  12960 Boundary Penalty:  870 Goal Reward:  70 Goal Penalty:  622.2000000000729
Total Steps:  6225 Episode:  97 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7540 Distance Reward:  12980 Boundary Penalty:  880 Goal Reward:  70 Goal Penalty:  622.3000000000729
Total Steps:  6226 Episode:  98 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7550 Distance Reward:  13000 Boundary Penalty:  890 Goal Reward:  70 Goal Penalty:  622.400000000073
Total Steps:  6227 Episode:  99 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7560 Distance Reward:  13020 Boundary Penalty:  900 Goal Reward:  70 Goal Penalty:  622.500000000073
Total Steps:  6228 Episode:  100 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7570 Distance Reward:  13040 Boundary Penalty:  910 Goal Reward:  70 Goal Penalty:  622.600000000073
Total Steps:  6229 Episode:  101 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7580 Distance Reward:  13060 Boundary Penalty:  920 Goal Reward:  70 Goal Penalty:  622.700000000073
Total Steps:  6230 Episode:  102 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7590 Distance Reward:  13080 Boundary Penalty:  930 Goal Reward:  70 Goal Penalty:  622.800000000073
Total Steps:  6231 Episode:  103 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7600 Distance Reward:  13100 Boundary Penalty:  940 Goal Reward:  70 Goal Penalty:  622.9000000000731
Total Steps:  6232 Episode:  104 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7610 Distance Reward:  13120 Boundary Penalty:  950 Goal Reward:  70 Goal Penalty:  623.0000000000731
Total Steps:  6233 Episode:  105 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7620 Distance Reward:  13140 Boundary Penalty:  960 Goal Reward:  70 Goal Penalty:  623.1000000000731
Total Steps:  6234 Episode:  106 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7630 Distance Reward:  13160 Boundary Penalty:  970 Goal Reward:  70 Goal Penalty:  623.2000000000731
Total Steps:  6235 Episode:  107 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7640 Distance Reward:  13180 Boundary Penalty:  980 Goal Reward:  70 Goal Penalty:  623.3000000000732
Total Steps:  6236 Episode:  108 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7650 Distance Reward:  13200 Boundary Penalty:  990 Goal Reward:  70 Goal Penalty:  623.4000000000732
Total Steps:  6237 Episode:  109 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7660 Distance Reward:  13220 Boundary Penalty:  1000 Goal Reward:  70 Goal Penalty:  623.5000000000732
Total Steps:  6238 Episode:  110 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7670 Distance Reward:  13240 Boundary Penalty:  1010 Goal Reward:  70 Goal Penalty:  623.6000000000732
Total Steps:  6239 Episode:  111 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7680 Distance Reward:  13260 Boundary Penalty:  1020 Goal Reward:  70 Goal Penalty:  623.7000000000733
Total Steps:  6240 Episode:  112 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7690 Distance Reward:  13280 Boundary Penalty:  1030 Goal Reward:  70 Goal Penalty:  623.8000000000733
Total Steps:  6241 Episode:  113 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7700 Distance Reward:  13300 Boundary Penalty:  1040 Goal Reward:  70 Goal Penalty:  623.9000000000733
Total Steps:  6242 Episode:  114 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7710 Distance Reward:  13320 Boundary Penalty:  1050 Goal Reward:  70 Goal Penalty:  624.0000000000733
Total Steps:  6243 Episode:  115 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7720 Distance Reward:  13340 Boundary Penalty:  1060 Goal Reward:  70 Goal Penalty:  624.1000000000734
Total Steps:  6244 Episode:  116 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7730 Distance Reward:  13360 Boundary Penalty:  1070 Goal Reward:  70 Goal Penalty:  624.2000000000734
Total Steps:  6245 Episode:  117 Reward:  9.9 Episode TimeSteps:  1 Sand Penalty:  2735.5 NonSand Reward:  7740 Distance Reward:  13380 Boundary Penalty:  1080 Goal Reward:  70 Goal Penalty:  624.3000000000734
